GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BloggingApi,com.example.BloggingApi.Utils,PageableUtils,0,31,0,2,0,3,0,3,0,2
BloggingApi,com.example.BloggingApi.DTOs.Requests,CreateTagRequest,0,6,0,0,0,1,0,1,0,1
BloggingApi,com.example.BloggingApi.DTOs.Requests,CreatePostRequest,0,12,0,0,0,1,0,1,0,1
BloggingApi,com.example.BloggingApi.DTOs.Requests,EditReviewRequest,0,12,0,0,0,1,0,1,0,1
BloggingApi,com.example.BloggingApi.DTOs.Requests,EditUserRequest,12,0,0,0,1,0,1,0,1,0
BloggingApi,com.example.BloggingApi.DTOs.Requests,CreateReviewRequest,0,15,0,0,0,1,0,1,0,1
BloggingApi,com.example.BloggingApi.DTOs.Requests,EditTagRequest,0,9,0,0,0,1,0,1,0,1
BloggingApi,com.example.BloggingApi.DTOs.Requests,CreateCommentRequest,0,12,0,0,0,1,0,1,0,1
BloggingApi,com.example.BloggingApi.DTOs.Requests,EditPostRequest,0,12,0,0,0,1,0,1,0,1
BloggingApi,com.example.BloggingApi.DTOs.Requests,EditCommentRequest,0,9,0,0,0,1,0,1,0,1
BloggingApi,com.example.BloggingApi.DTOs.Requests,LoginRequest,9,0,0,0,1,0,1,0,1,0
BloggingApi,com.example.BloggingApi.DTOs.Requests,CreateUserRequest,0,12,0,0,0,1,0,1,0,1
BloggingApi,com.example.BloggingApi.Services,TagService,79,36,4,0,14,9,11,4,9,4
BloggingApi,com.example.BloggingApi.Services,ReviewService,113,94,20,0,19,20,17,8,7,8
BloggingApi,com.example.BloggingApi.Services,UserService,222,40,26,0,39,11,25,2,12,2
BloggingApi,com.example.BloggingApi.Services,CommentService,89,95,16,0,15,20,14,9,6,9
BloggingApi,com.example.BloggingApi.Services,PostService,74,119,22,2,13,23,14,12,2,12
BloggingApi,com.example.BloggingApi.Controllers.Rest,UserController,88,6,0,0,8,3,7,1,7,1
BloggingApi,com.example.BloggingApi.Controllers.Rest,AuthController,83,18,8,0,20,7,6,1,2,1
BloggingApi,com.example.BloggingApi.Controllers.Rest,CommentController,34,29,0,0,3,7,3,4,3,4
BloggingApi,com.example.BloggingApi.Controllers.Rest,TagController,33,29,0,0,3,7,3,4,3,4
BloggingApi,com.example.BloggingApi.Controllers.Rest,PostController,0,64,0,0,0,10,0,7,0,7
BloggingApi,com.example.BloggingApi.Controllers.Rest,ReviewController,58,6,0,0,7,3,6,1,6,1
BloggingApi,com.example.BloggingApi.Controllers.Rest,RegisterController,17,6,0,0,2,3,1,1,1,1
BloggingApi,com.example.BloggingApi.Controllers.Rest,SecurityReportController,26,9,0,0,5,4,2,1,2,1
BloggingApi,com.example.BloggingApi.Security,OAuth2LoginSuccessHandler,133,18,12,0,30,7,8,1,2,1
BloggingApi,com.example.BloggingApi.Security,CustomUserDetailsService,56,6,8,0,15,3,6,1,2,1
BloggingApi,com.example.BloggingApi.Security,ActiveTokenStore,38,8,8,0,8,2,8,1,4,1
BloggingApi,com.example.BloggingApi.Security,CustomOAuth2UserService,157,9,16,0,34,4,10,1,2,1
BloggingApi,com.example.BloggingApi.Security,RevokedTokenStore,55,18,14,0,12,5,10,2,3,2
BloggingApi,com.example.BloggingApi.Security,SecurityConfig,54,433,0,0,9,44,6,12,6,12
BloggingApi,com.example.BloggingApi.Security,JWTService,143,3,10,0,32,1,14,1,9,1
BloggingApi,com.example.BloggingApi.Security,SecurityEventService,220,27,30,0,43,6,26,2,11,2
BloggingApi,com.example.BloggingApi.Security,SecurityEventService.SecurityEvent,20,0,0,0,2,0,2,0,2,0
BloggingApi,com.example.BloggingApi.Security,SecurityEventService.EventType,27,0,0,0,5,0,1,0,1,0
BloggingApi,com.example.BloggingApi.Security,ActiveTokenStore.SessionInfo,12,0,0,0,1,0,1,0,1,0
BloggingApi,com.example.BloggingApi.AOP,CacheLoggingAspect,247,68,17,3,39,16,17,6,7,6
BloggingApi,com.example.BloggingApi.AOP,PerformanceMonitoringAspect,1,27,0,0,1,8,1,3,1,3
BloggingApi,com.example.BloggingApi.AOP,CacheLoggingAspect.CacheStats,20,33,0,0,6,8,2,2,2,2
BloggingApi,com.example.BloggingApi.AOP,LoggingAspect,1,16,0,0,1,5,1,3,1,3
BloggingApi,com.example.BloggingApi.Controllers,DemoCsrfController,61,3,4,0,13,1,5,1,3,1
